datetime	t 	rh 	u 	p 	Qsi 	T_g
20101017T230000	-1.400	55.823	1.112	0.0221	6.142	2.834
20101018T000000	-1.651	56.339	1.157	0.0000	6.142	2.792
20101018T010000	-1.978	60.242	1.214	0.0400	6.142	2.749
20101018T020000	-2.273	62.894	1.157	0.0000	6.142	2.702
20101018T030000	-2.177	64.315	1.159	0.0315	6.142	2.652
20101018T040000	-2.208	64.501	1.107	0.0052	6.142	2.616
20101018T050000	-1.778	62.388	1.094	0.0443	6.142	2.585
20101018T060000	-0.926	60.701	1.052	0.0000	6.142	2.558
20101018T070000	-0.451	59.893	1.051	0.0000	6.142	2.557
20101018T080000	-0.324	58.544	1.048	0.0000	6.142	2.562
20101018T090000	-0.716	61.532	1.121	0.0028	25.645	2.564
20101018T100000	0.648	56.024	1.140	0.0000	172.997	2.535
20101018T110000	3.705	46.063	1.109	0.0613	280.419	2.534
20101018T120000	5.945	40.029	1.101	0.0000	450.742	2.582
20101018T130000	5.971	42.865	1.196	0.0000	516.918	2.691
20101018T140000	6.783	40.891	1.220	0.0298	462.341	2.796
20101018T150000	5.923	47.490	1.189	0.0126	488.996	2.942
20101018T160000	5.918	47.237	1.085	0.0000	451.914	3.084
20101018T170000	5.261	51.403	1.027	0.0467	148.796	3.219
20101018T180000	5.641	49.543	1.076	0.0000	109.388	3.329
20101018T190000	4.416	55.817	1.106	0.0020	31.843	3.431
20101018T200000	3.417	60.660	1.084	0.0205	6.142	3.475
20101018T210000	2.403	66.939	1.112	0.0110	6.142	3.467
20101018T220000	2.390	67.661	1.041	0.0000	6.142	3.432
20101018T230000	2.039	69.751	1.053	0.0012	6.142	3.406
20101019T000000	2.359	69.080	1.042	0.0000	6.142	3.373
20101019T010000	1.674	69.751	0.991	0.0213	6.142	3.368
20101019T020000	1.430	73.414	1.019	0.0000	6.142	3.377
20101019T030000	1.752	72.072	1.039	0.0004	6.142	3.338
20101019T040000	1.556	73.672	1.011	0.0000	6.142	3.319
20101019T050000	1.530	74.265	1.025	0.0065	6.142	3.316
20101019T060000	2.927	69.271	1.190	0.0000	6.142	3.331
20101019T070000	4.557	60.301	1.078	0.0000	6.142	3.413
20101019T080000	4.617	61.085	1.030	0.0012	6.142	3.464
20101019T090000	5.131	58.745	1.166	0.0000	13.727	3.516
20101019T100000	5.651	56.429	1.328	0.0488	41.985	3.581
20101019T110000	5.851	56.284	1.272	0.0278	134.220	3.656
20101019T120000	6.516	54.935	1.294	0.0000	284.381	3.753
20101019T130000	7.032	54.904	1.182	0.0000	502.783	3.868
20101019T140000	7.978	51.197	1.171	0.2020	660.237	3.942
20101019T150000	8.249	50.232	1.186	0.0089	489.852	4.244
20101019T160000	8.152	50.952	1.214	0.0186	401.331	4.423
20101019T170000	7.279	54.765	1.154	0.0085	83.316	4.566
20101019T180000	6.167	59.555	1.136	0.0447	34.594	4.625
20101019T190000	4.253	67.708	1.071	0.0146	13.618	4.585
20101019T200000	2.986	72.485	1.059	0.0117	6.142	4.502
20101019T210000	2.923	73.414	1.097	0.0000	6.142	4.436
20101019T220000	3.614	67.403	1.109	0.0000	6.142	4.403
